RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
98,David Dahl,COL,NL, OF,Batter,26,Another season shortened by injury; this time by a high ankle sprain that ended his year in early August. .386 BABIP covered up a weak 110/28 K/BB in 100 games; but he displayed an above average power/speed combo and has the raw tools to take his game to the next level.,,86,23,83,0.271,0.329,0.48,9,,,,,,,,,,,,,,,,,,,
99,Amed Rosario,NYM,NL, SS,Batter,24.4,Continues to get stronger; raising his exit velocity 1.9 MPH to a well above average 89.2 MPH; while maintaining his plus speed and good feel to hit. 91.2 MPH FB/LD exit velocity will have to improve in order to take the next step.,,87,18,79,0.283,0.322,0.446,22,,,,,,,,,,,,,,,,,,,
100,Byron Buxton,MIN,NL, OF,Batter,26.3,In the midst of a mini breakout before a shoulder injury ended his season; which required labrum surgery in September with a 5-6 month timetable. The underlying skills (95 MPH FB/LD exit velo; 19.5 degree launch angle; and 30.3 foot per second sprint speed) are there to become a power/speed beast; even if it takes him into his late 20s to truly put it all together.,,83,23,76,0.267,0.321,0.475,26,,,,,,,,,,,,,,,,,,,
101,Trevor Bauer,CIN,NL, RHP,Pitcher,29.2,Couldnt repeat 2018 breakout; but he pitched through partially torn ligaments in his ankle since the 4th start of the season.,,,,,,,,,12,3.78,1.24,240,0,200,,,,,,,,,,,,,
102,Paul Goldschmidt,STL,NL, 1B,Batter,32.7,Still has the ability to put up big power numbers; but the days of elite fantasy production; especially in the stolen base department; are over.,,94,34,94,0.278,0.359,0.506,6,,,,,,,,,,,,,,,,,,,
103,Tommy Pham,SD,NL, OF,Batter,32.1,Broke his hand on July 28th and was amazingly able to play through it; although his production took a small hit (.856 OPS pre injury vs. .776 OPS post injury),,90,22,76,0.279,0.37,0.458,21,,,,,,,,,,,,,,,,,,,
104,Whit Merrifield,KC,AL, 2B/OF,Batter,31.4,Steals and attempts both dropped off considerably; as well as a slight drop in sprint speed. Its concerning for an aging; speed first player; but hes still plenty fast so Im actually expecting a slight rebound.,,93,15,71,0.291,0.343,0.451,25,,,,,,,,,,,,,,,,,,,
105,Zack Wheeler,PHI,NL, RHP,Pitcher,29.1,Maintained uptick in velocity from the 2nd half of 2018 into 2019; but it still couldnt prevent a repeat of his 1st half slump; putting up a 4.94 ERA in his first 15 starts; and a 3.04 ERA in his final 16 starts.,,,,,,,,,12,3.78,1.23,189,0,191,,,,,,,,,,,,,
106,Mike Soroka,ATL,NL, RHP,Pitcher,22.8,Low strikeout; groundball pitcher who relies mainly on a 92.2 MPH sinker. Slider; changeup; and 4 seamer were also above average to plus pitches in their own right.,,,,,,,,,13,3.61,1.19,170,0,190,,,,,,,,,,,,,
107,Zac Gallen,ARI,NL, RHP,Pitcher,24.8,Rode a plus fastball/changeup combo to a pitching line of 2.81/1.23/96/36 in 80 IP; and while the walk rate is a bit high; hes displayed good control his entire college/minor league career.,,,,,,,,,12,3.63,1.25,203,0,181,,,,,,,,,,,,,
108,J.T. Realmuto,PHI,NL, C,Batter,29.1,Continued to improve power with a career high 90.3 MPH average exit velocity while maintaining good feel to hit and speed.,,81,23,73,0.273,0.33,0.485,6,,,,,,,,,,,,,,,,,,,
109,Trey Mancini,BAL,AL, 1B/OF,Batter,28,Improved plate approach and GB% allowed his already good feel to hit and plus exit velocity to shine; slashing .291/.364/.535 with 35 homers.,,89,30,90,0.278,0.347,0.506,1,,,,,,,,,,,,,,,,,,,
110,Franmil Reyes,CLE,AL, OF,Batter,24.9,Ranked 3rd and 4th overall; respectively; in average exit velocity (93.3 MPH) and FB/LD exit velocity (98.2 MPH). If he can improve his 28.5% K%; which his minor league track record suggests is possible; if not likely; the sky is the limit on his power potential.,,78,34,91,0.256,0.316,0.509,0,,,,,,,,,,,,,,,,,,,
111,Oscar Mercado,CLE,AL, OF,Batter,25.4,Offensive profile is a doppelganger forWhit Merrifield.,,82,17,66,0.273,0.334,0.435,25,,,,,,,,,,,,,,,,,,,
112,Dylan Carlson,STL,NL, OF,Batter,21.6,Major power breakout (26 homers) while maintaining a strong plate approach (116/58 K/BB in 126 games) in the upper levels of the minors. Hes likely the Cardinals best outfielder right now (save for maybeTommy Edman).,JUNE,51,13,48,0.262,0.333,0.447,8,,,,,,,94,27,91,0.277,0.352,0.488,12,,,,,,
113,Jasson Dominguez,NYY,AL, OF,Batter,17.2,When you get the opportunity to draft at the top of a first year player draft; you just dont pass on this type of generational talent. Double plus power/speed combo with a good feel to hit. Upside is #1 player in fantasy.,2023,,,,,,,,,,,,,,109,32,101,0.287,0.373,0.532,25,,,,,,
114,Jeff McNeil,NYM,NL, 2B/3B/OF,Batter,28,Plus contact ability with about average pop and speed.,,89,24,82,0.303,0.361,0.504,9,,,,,,,,,,,,,,,,,,,
115,Max Fried,ATL,NL, LHP,Pitcher,26.2,Added a slider which immediately became his best pitch; throwing it 16% of the time with a 6.2 pitch value. 2.55 BB/9 is the best hes done at any stop in his professional career.,,,,,,,,,14,3.57,1.23,196,0,182,,,,,,,,,,,,,
116,Sonny Gray,CIN,NL, RHP,Pitcher,30.5,A bounce back season was easy to predict; but nobody could have expected a 7.9% increase in K%; leading to 205 strikeouts in 175.1 IP.,,,,,,,,,13,3.58,1.18,198,0,179,,,,,,,,,,,,,
117,Miguel Sano,MIN,NL, 3B,Batter,26.11,36.2% K% might tank your batting average; but power entered into true elite territory with a 99.6 MPH FB/LD exit velocity and 15.9 degree launch angle.,,87,42,94,0.236,0.332,0.519,0,,,,,,,,,,,,,,,,,,,
118,Kyle Schwarber,CHC,NL, OF,Batter,27.9,Career high 97.9 MPH FB/LD exit velocity combined with a career low 25..6% K% led to a career high 38 homers and .250 BA. Also the first year he received full time at bats.,,85,35,94,0.254,0.348,0.523,3,,,,,,,,,,,,,,,,,,,
119,Marco Luciano,SF,NL, SS,Batter,18.7,Knocked 10 homers in 47 games in his first season of pro ball. Lightening quick bat speed with potential for double plus power.,2023,,,,,,,,,,,,,,91,33,99,0.277,0.35,0.52,9,,,,,,
120,Andrew Vaughn,CHW,AL, 1B,Batter,22,If drafting a 17 year old without a single pro plate attempt is just more risk than you are able to handle; Vaughn is your safe alternative for the top pick in a FYPD. Patient hitter with plus contact rates and plus power. Type of college bat who should move fast.,2021,,,,,,,,,,,,,,92,31,103,0.285,0.37,0.518,2,,,,,,
121,Josh Donaldson,MIN,NL, 3B,Batter,34.4,Bounced back from an injury plagued 2018 with 37 homers; ranking 6th overall in FB/LD exit velocity and 7th overall in average exit velocity.,,92,32,89,0.254,0.366,0.513,3,,,,,,,,,,,,,,,,,,,
122,Jose Abreu,CHW,AL, 1B,Batter,33.2,Hitting the ball as hard as ever with a career high 92.1 MPH avg. exit velocity.,,82,30,101,0.281,0.335,0.498,2,,,,,,,,,,,,,,,,,,,
123,Cavan Biggio,TOR,AL, 2B,Batter,25,28.6% K%; 20.1 degree launch angle and a 91.8 MPH FB/LD exit velocity is a recipe for a low average; but speed and a high walk rate should mitigate some of that average risk.,,83,24,77,0.252,0.358,0.444,16,,,,,,,,,,,,,,,,,,,
124,Carter Kieboom,WAS,NL, SS/2B,Batter,22.7,Patient hitter with a swing geared towards both average and power. If you can buy low based off his .128 BA and 37.2% K% in his small sample MLB debut; do it.,MAY,64,18,68,0.268,0.339,0.44,3,,,,,,,93,26,92,0.281,0.359,0.486,7,,,,,,
125,Brendan Rodgers,COL,NL, 2B,Batter,23.8,Season ending labrum surgery in July makes it unlikely for Rodgers to wrestle the starting 2B job fromRyan McMahonearly in the season; but his plus hit; plus power ceiling still makes him the favorite long term. Or Colorado trades Arenado and there is room for both.,JUNE,45,15,52,0.266,0.316,0.451,4,,,,,,,85,29,96,0.279,0.335,0.492,5,,,,,,
126,Josh Hader,MIL,NL, CL,Reliever,27,Finally ascended to the closer role and didnt disappoint with a career high 16.41 K/9 and career low 2.38 BB/9. With Milwaukee putting him on the trade block; hes once again at risk of being moved back into a setup role.,,,,,,,,,4,2.83,0.92,131,34,71,,,,,,,,,,,,,
127,Adley Rutschman,BAL,AL, C,Batter,22.2,Selected 1st overall in the 2019 draft; Rutschman is a plus defensive catcher with a middle of the order offensive profile. Just keep in mind that catchers inherently get more days off during the season; are at a greater risk of injury; and just generally get worn down over the course of a season and career.,2021,,,,,,,,,,,,,,85,27,91,0.282,0.368,0.508,2,,,,,,
128,Jose Berrios,MIN,NL, RHP,Pitcher,25.1,Third straight good but not great season. Probably needs to add a few MPH to really take the next step.,,,,,,,,,13,3.78,1.21,192,0,194,,,,,,,,,,,,,
129,Eduardo Rodriguez,BOS,AL, LHP,Pitcher,27,Shook off a poor start to the season (5.43 ERA in first 10 starts) to put up a 3.21 ERA in final 148.2 IP. Put his injury history in the past with a career high 203.1 IP.,,,,,,,,,14,3.73,1.27,188,0,184,,,,,,,,,,,,,
130,Nicholas Castellanos,CIN,NL, OF,Batter,28.1,Trade to Chicago lit a fire under him; hitting .321 with 16 homers in 51 games. Couldnt have landed in a better situation than Cincy.,,84,27,89,0.279,0.335,0.508,2,,,,,,,,,,,,,,,,,,,
131,Scott Kingery,PHI,NL, 3B/OF,Batter,25.11,Improved exit velocity allowed him to tap into his power; but will have to cut down on 29.4% K% in order to take the next step.,,79,22,71,0.263,0.322,0.461,17,,,,,,,,,,,,,,,,,,,
132,Forrest Whitley,HOU,AL, RHP,Pitcher,22.6,Missed seven weeks with shoulder inflammation and battled command issues all season (7.99 ERA and 86/44 K/BB in 59.2 IP). He got back on track in the Fall League with a 2.88 ERA and 32/9 K/BB in 25 IP. The ace upside is still there; but the risk is evident.,JULY,,,,,,,,5,4.15,1.31,83,0,76,,,,,,,,16,3.44,1.18,211,0,188
133,Casey Mize,DET,AL, RHP,Pitcher,22.11,Plus command of a 4 pitch mix with a nasty splitter as the money pitch. Wasnt the same after missing a month with shoulder inflammation in June; which is yet another reminder of how risky pitching prospects are.,JULY,,,,,,,,5,3.82,1.26,78,0,82,,,,,,,,15,3.51,1.16,191,0,182
134,Brandon Lowe,TB,AL, 2B,Batter,25.9,Elite underlying power hitting numbers (18.7 launch; 96 MPH FB/LD); and while 34.6% K% is high; hes done much better than that every other year of his career; including 2018 in the majors. Also has some speed.,,78,31,86,0.257,0.328,0.493,8,,,,,,,,,,,,,,,,,,,
135,Dinelson Lamet,SD,NL, RHP,Pitcher,27.8,Improved in his return fromTommy Johnsurgery; adding two new pitches (96.4 MPH sinker and a2nd slider) to his already plus fastball/slider combo. It helped with his issues vs. lefties (.867 OPS in 2017 vs. .744 OPS in 2019) and going through the batting order a 3rd time (8.86 ERA in 2017 vs. 4.70 ERA in 2019).,,,,,,,,,11,3.72,1.23,205,0,163,,,,,,,,,,,,,
136,Charlie Morton,TB,AL, RHP,Pitcher,36.6,Career year by upping the usage of his best pitch (curveball) at the cost of his sinker. Fastball velocity dipping 1.6 MPH and comments last off-season about wanting to spend more time with his family are areas of concern.,,,,,,,,,15,3.41,1.15,212,0,182,,,,,,,,,,,,,
137,Alex Verdugo,BOS,AL, OF,Batter,23.11,Plus contact rates transferred to the majors with a 13% K% and .294 BA in 106 games. Hits the ball very hard; so if he can lift it more; the power could blow up. I was high on Verdugo before the trade news; but moving to Boston puts him in a better ballpark and gives him more job security.Update:Stress fracture in back likely to keep him out to start the season.,,76,17,73,0.286,0.34,0.468,7,,,,,,,92,25,86,0.298,0.365,0.51,10,,,,,,
138,Royce Lewis,MIN,NL, SS,Batter,20.1,Salvaged a down year at High-A and Double-A (.236/.290/.371) by destroying the Arizona Fall League (.353/.411/.565) and taking home MVP honors. Regardless; spike in strikeout rate across all levels calls into question how much average he will ultimately hit for.,2021,,,,,,,,,,,,,,84,25,89,0.273,0.332,0.461,22,,,,,,
139,Kristian Robinson,ARI,NL, OF,Batter,19.4,High strikeout rates are a legitimate concern; but he has been among the youngest players at every level; and the elite power/speed combo has you dreaming of aFernando Tatislike breakout.,2022,,,,,,,,,,,,,,84,30,95,0.262,0.347,0.503,18,,,,,,
140,Yu Darvish,CHC,NL, RHP,Pitcher,33.7,Amazing turnaround in the 2nd half; putting up a pitching line of 2.76/0.81/118/7 in 81.2 IP after walking 49 batters with a 5.01 ERA in the 1st half. Darvish is the type of pitcher I target after passing on the frontline aces.,,,,,,,,,13,3.72,1.19,222,0,180,,,,,,,,,,,,,
141,Lance McCullers Jr.,HOU,AL, RHP,Pitcher,26.6,Rehab fromTommy Johnsurgery is going smooth and is expected to be 100% by the start of camp; but is still expected to be limited to about 120 IP. Changeup took a step forward in 2018 before getting hurt. Im buying in.,,,,,,,,,9,3.59,1.24,135,0,123,,,,,,,,,,,,,
142,Nate Pearson,TOR,AL, RHP,Pitcher,23.7,66ù; 245 pound beast who crushed 3 levels of the minors (A+; AA; AAA) with an upper 90s fastball and plus slider.,JULY,,,,,,,,4,3.88,1.29,74,0,70,,,,,,,,14,3.48,1.19,192,0,178
143,Luis Patino,SD,NL, RHP,Pitcher,20.5,Double plus mid to upper 90s fastball with a slider that flashes plus and developing changeup. Patino is a player Im targeting in trades considering the hype hasnt quite matched his top of the rotation upside.,2021,,,,,,,,,,,,,,,,,,,,,15,3.41,1.16,195,0,177
144,Matt Manning,DET,AL, RHP,Pitcher,22.3,Improvements to changeup and control led to a huge year at Triple-A; putting up a pitching line of 2.56/0.98/148/38 in 133.2 IP. Adding a tick or two to his low 90s fastball could take him to the next level.,AUG,,,,,,,,4,3.96,1.3,61,0,54,,,,,,,,15,3.62,1.21,212,0,192
145,Yasiel Puig,FA,, OF,Batter,29.4,Hasnt had the power breakout season weve all been waiting for; but he is running more than ever; and the underlying skills are there for a 30+ homer season.,,79,28,91,0.266,0.332,0.483,17,,,,,,,,,,,,,,,,,,,
146,Tommy Edman,STL,NL, 2B/3B,Batter,24.11,Way back in August 2016; just a couple months after St. Louis drafted him 196th overall; I praised Edman in myProspect Rundown: úLike clockwork; St. Louis has another mid-round draft pick (6thrd pick this year) who has immediately excelled in pro ball. Edman is slashing .305/.416/.473 with 4 homers; 5 triples; 12 doubles; and 14 steals in 52 games at Low-A. He has elite contact skills; putting up a 22/37 K/BB; which backs up his 57/76 career K/BB in 168 games as a 3-year starter at Stanford. His upside isnt sky high; and he may top out as a utility infielder; but I know better than to bet against St. Louis draft picks.ù ¶ please pay no attention to the fact he didnt crack my 2019 Top 1;000.,,83,15,54,0.281,0.33,0.451,23,,,,,,,,,,,,,,,,,,,
147,Dansby Swanson,ATL,NL, SS,Batter,26.2,Power broke out with a 3 MPH increase in exit velocity although it showed up only marginally in his surface stats. Expect it to show up in 2020.,,88,23,77,0.267,0.339,0.452,12,,,,,,,,,,,,,,,,,,,
148,Jeter Downs,BOS,AL, SS,Batter,21.8,I was high on Downs coming into 2019; ranking him 45th overall on my 2019 Top 472 Prospects Ranking. He continued to show off the same skills at High-A and Double-A that made me so high on him; which is a good feel to hit; the ability to lift the ball; and base stealing skills.,2021,,,,,,,,,,,,,,87,26,83,0.274,0.347,0.469,14,,,,,,
149,Brennen Davis,CHC,NL, OF,Batter,20.5,At an athletic 64ù; 175 pounds; Davis has a plus power/speed combo with a good feel to hit. He slashed .305/.381/.525 with 8 homers; 4 steals; and a 38/18 K/BB in 50 games at Full-A. Hes still not getting his due respect.,2022,,,,,,,,,,,,,,86,28,93,0.274,0.34,0.495,13,,,,,,
150,CJ Abrams,SD,NL, SS,Batter,19.6,Plus hit tool and plus speed shined through in his pro debut; slashing .401/.442/.662 with 14 steals and a 9% K% in 32 rookie ball games. 3 homers shows he has decent pop; and at 62ù; 185 pounds; there is room to grow into more.,2023,,,,,,,,,,,,,,93,16,72,0.287,0.349,0.439,30,,,,,,
151,Corey Kluber,TEX,AL, RHP,Pitcher,34,Fractured his right elbow after getting hit by a line drive and then strained his oblique during a rehab start. Made only 7 starts due to the injuries and he didnt look all that hot in those starts with a 5.80 ERA and his velocity continuing its 5 year decline. There is a reason he didnt fetch all that much in the trade.,,,,,,,,,13,3.62,1.16,180,0,178,,,,,,,,,,,,,
152,Zack Greinke,HOU,AL, RHP,Pitcher,36.5,Steamer hates him; slapping him with a projected 4.26 ERA. He doesnt strike a ton of batters out and is getting up there in age; but he has a history of thriving with low K rates and reduced velocity.,,,,,,,,,16,3.42,1.1,179,0,195,,,,,,,,,,,,,
153,Madison Bumgarner,ARI,NL, LHP,Pitcher,30.8,Every ballpark is a downgrade from San Francisco but Arizona has leaned towards a pitchers park since implementing the humidor. With xFIPs over four the last three years and the aforementioned ballpark downgrade; I would be looking to trade Bumgarner this off-season.,,,,,,,,,12,3.98,1.19,188,0,190,,,,,,,,,,,,,
154,Jorge Polanco,MIN,NL, SS,Batter,26.9,Power breakout on the back of raising his exit velocity 3.1 MPH to 87 MPH. Despite above average speed; it is not translating to success on the base paths (11 for 21 over the past two years).,,92,19,71,0.286,0.347,0.466,6,,,,,,,,,,,,,,,,,,,
155,Michael Brantley,HOU,AL, OF,Batter,32.11,Stolen bases dropped off a cliff; but everything else is in prime form.,,85,20,83,0.302,0.358,0.481,5,,,,,,,,,,,,,,,,,,,
156,Roberto Osuna,HOU,AL, CL,Reliever,25.2,As consistent as it gets. 5th straight season with a sub 1.00 WHIP.,,,,,,,,,3,2.91,0.93,76,34,67,,,,,,,,,,,,,
